计算N个数之和的算法性能比较：

| 数据大小 | 平凡算法 (μs) | 两路链式 (μs) | 递归两两相加 (μs) | 原地两两相加(μs) | 两路加速比 | 递归加速比 | 两两相加加速比 |
|----------|--------------|--------------|-----------------|-----------------|------------|------------|---------------|
|     1024 |        18.67 |         9.33 |           19.33 |           15.67 |       2.00 |       0.97 |          1.19 |
|     2048 |        11.33 |        10.00 |           30.00 |           16.67 |       1.13 |       0.38 |          0.68 |
|     3000 |        16.67 |        14.00 |           53.00 |           25.00 |       1.19 |       0.31 |          0.67 |
|     4000 |        33.00 |        27.00 |          891.00 |           72.67 |       1.22 |       0.04 |          0.45 |
|     4600 |        51.67 |        43.00 |          142.67 |           73.00 |       1.20 |       0.36 |          0.71 |
|     5000 |        51.33 |        44.33 |          149.33 |           74.67 |       1.16 |       0.34 |          0.69 |
|     6000 |        58.00 |        49.33 |          181.33 |           83.33 |       1.18 |       0.32 |          0.70 |
|     8192 |        72.00 |        59.00 |          188.67 |          103.33 |       1.22 |       0.38 |          0.70 |
|    65536 |       480.67 |       406.67 |         1242.00 |          685.00 |       1.18 |       0.39 |          0.70 |
|   131072 |       989.00 |       826.33 |         2578.67 |         1481.00 |       1.20 |       0.38 |          0.67 |
|   200000 |      1553.33 |      1318.33 |         5050.00 |         2248.33 |       1.18 |       0.31 |          0.69 |
|   262144 |      2000.33 |      1637.00 |         5162.33 |         2902.67 |       1.22 |       0.39 |          0.69 |
|   330000 |      2434.67 |      2041.33 |         7388.00 |         3623.00 |       1.19 |       0.33 |          0.67 |
|   350000 |      2660.33 |      2242.00 |         8283.33 |         3919.00 |       1.19 |       0.32 |          0.68 |
|   400000 |      3087.33 |      2543.00 |         9845.33 |         4440.33 |       1.21 |       0.31 |          0.70 |
|   524288 |      4100.33 |      3396.33 |        10574.67 |         5969.67 |       1.21 |       0.39 |          0.69 |
|  1048576 |      8195.00 |      6820.00 |        21412.33 |        12019.67 |       1.20 |       0.38 |          0.68 |
|  2097152 |     15097.67 |     12843.67 |        38135.67 |        18486.33 |       1.18 |       0.40 |          0.82 |
|  3000000 |     18510.67 |     15433.00 |        59047.67 |        27412.33 |       1.20 |       0.31 |          0.68 |
|  4000000 |     26266.00 |     21728.33 |        70694.33 |        38211.33 |       1.21 |       0.37 |          0.69 |
|  4500000 |     29576.33 |     24787.67 |        80808.00 |        43289.00 |       1.19 |       0.37 |          0.68 |
|  5000000 |     30964.00 |     25866.00 |        88656.67 |        45763.67 |       1.20 |       0.35 |          0.68 |
|  6000000 |     39087.67 |     32200.67 |       122185.00 |        55350.67 |       1.21 |       0.32 |          0.71 |
|  8388608 |     52187.00 |     43411.67 |       136270.00 |        77146.00 |       1.20 |       0.38 |          0.68 |
| 16777216 |    109890.00 |     92329.33 |       289068.00 |       162817.33 |       1.19 |       0.38 |          0.67 |
| 33554432 |    209251.00 |    174654.33 |       543108.00 |       307019.67 |       1.20 |       0.39 |          0.68 |
| 67108864 |    522943.33 |    417785.33 |      1335898.33 |       631928.67 |       1.25 |       0.39 |          0.83 |
