计算N个数之和的算法性能比较：

| 数据大小 | 平凡算法 (μs) | 两路链式 (μs) | 递归两两相加 (μs) | 原地两两相加(μs) | 两路加速比 | 递归加速比 | 两两相加加速比 |
|----------|--------------|--------------|-----------------|-----------------|------------|------------|---------------|
|     1024 |         3.00 |         1.67 |            3.00 |            2.00 |       1.80 |       1.00 |          1.50 |
|     2048 |         6.33 |         3.00 |            6.00 |            3.33 |       2.11 |       1.06 |          1.90 |
|     3000 |         9.33 |         4.67 |           11.33 |            5.33 |       2.00 |       0.82 |          1.75 |
|     4000 |        12.33 |         6.33 |           12.00 |            8.00 |       1.95 |       1.03 |          1.54 |
|     4600 |        14.00 |         7.33 |           14.33 |           11.67 |       1.91 |       0.98 |          1.20 |
|     5000 |        15.67 |         7.67 |           16.67 |           12.67 |       2.04 |       0.94 |          1.24 |
|     6000 |        18.67 |         9.00 |           22.67 |           15.33 |       2.07 |       0.82 |          1.22 |
|     8192 |        25.33 |        12.67 |           24.33 |           21.67 |       2.00 |       1.04 |          1.17 |
|    65536 |       165.67 |        65.67 |          168.67 |           95.00 |       2.52 |       0.98 |          1.74 |
|   131072 |       201.33 |       102.67 |          264.67 |          153.67 |       1.96 |       0.76 |          1.31 |
|   200000 |       310.00 |       154.33 |          536.00 |          204.67 |       2.01 |       0.58 |          1.51 |
|   262144 |       460.67 |       232.00 |          604.00 |          314.67 |       1.99 |       0.76 |          1.46 |
|   330000 |       580.00 |       297.33 |          949.33 |          422.67 |       1.95 |       0.61 |          1.37 |
|   350000 |       630.00 |       321.00 |         1064.67 |          436.00 |       1.96 |       0.59 |          1.44 |
|   400000 |       717.67 |       369.33 |         1240.33 |          511.67 |       1.94 |       0.58 |          1.40 |
|   524288 |       951.33 |       475.00 |         1203.67 |          766.67 |       2.00 |       0.79 |          1.24 |
|  1048576 |      1818.67 |       900.33 |         2417.67 |         1568.00 |       2.02 |       0.75 |          1.16 |
|  2097152 |      3521.33 |      1778.67 |         5154.33 |         3802.33 |       1.98 |       0.68 |          0.93 |
|  3000000 |      5158.67 |      2571.00 |         9925.00 |         5041.67 |       2.01 |       0.52 |          1.02 |
|  4000000 |      7298.33 |      3501.67 |        10828.33 |         6550.00 |       2.08 |       0.67 |          1.11 |
|  4500000 |      7795.67 |      4005.33 |        12557.00 |         7349.00 |       1.95 |       0.62 |          1.06 |
|  5000000 |      8642.00 |      4494.00 |        15508.67 |         8223.67 |       1.92 |       0.56 |          1.05 |
|  6000000 |     10463.00 |      5414.67 |        20427.67 |         9993.00 |       1.93 |       0.51 |          1.05 |
|  8388608 |     14516.33 |      7857.67 |        21907.00 |        13821.00 |       1.85 |       0.66 |          1.05 |
| 16777216 |     28873.33 |     16082.33 |        43723.33 |        28433.67 |       1.80 |       0.66 |          1.02 |
| 33554432 |     58455.00 |     32525.33 |        88906.67 |        58482.33 |       1.80 |       0.66 |          1.00 |
| 67108864 |    117662.67 |     67292.00 |       185634.00 |       124281.33 |       1.75 |       0.63 |          0.95 |
