数据大小,平凡算法(μs),两路链式(μs),递归两两相加(μs),原地两两相加(μs),两路加速比,递归加速比,两两相加加速比
1024,4.66667,2.33333,6.66667,3.66667,2,0.7,1.27273
2048,9.33333,4.66667,12.6667,6,2,0.736842,1.55556
3000,13.3333,7,23.6667,9,1.90476,0.56338,1.48148
4000,19,9.33333,24,12.3333,2.03571,0.791667,1.54054
4600,19.3333,9.66667,30,13.6667,2,0.644444,1.41463
5000,21,11,35,15,1.90909,0.6,1.4
6000,27.3333,12.6667,45,18.3333,2.15789,0.607407,1.49091
8192,38,18,50.3333,27.3333,2.11111,0.754967,1.39024
65536,295,154.667,433.333,237.667,1.90733,0.680769,1.24123
131072,761.333,388.667,1020.67,526.333,1.95883,0.745918,1.44649
200000,1196.33,594,2037,871,2.01403,0.587302,1.37352
262144,1525,781,2039.67,1108,1.95262,0.747671,1.37635
330000,1348.67,643,1929.33,821,2.09746,0.699032,1.64271
350000,637,336.667,1141.67,505.667,1.89208,0.557956,1.25972
400000,726.667,370,1283.67,585.333,1.96396,0.566087,1.24146
524288,988,484.333,1297.67,743,2.03992,0.761367,1.32974
1048576,1885,970.333,2529,1610.67,1.94263,0.745354,1.17032
2097152,3832.67,1963.67,5120,3308,1.95179,0.748568,1.15861
3000000,5509.33,2805,9650,4731.33,1.96411,0.570915,1.16444
4000000,7300.67,3718.67,10257.3,6428.33,1.96325,0.711751,1.1357
4500000,8616.33,4475.33,12564.3,7504,1.92529,0.685777,1.14823
5000000,9832.33,4846,16287.7,8607.33,2.02896,0.603667,1.14232
6000000,11051.7,5676,20701.7,10328,1.94709,0.533854,1.07007
8388608,15539,7939.33,21807.3,14496.7,1.95722,0.712558,1.0719
16777216,30996.3,16002.3,45129.3,29795,1.93699,0.686833,1.04032
33554432,52013.7,28306.7,96095.7,55791,1.83751,0.54127,0.932295
67108864,113120,63719.3,173681,115538,1.77529,0.65131,0.979072
