数据大小,平凡算法(μs),两路链式(μs),递归两两相加(μs),原地两两相加(μs),展开4路(μs),展开8路分块(μs),两路加速比,递归加速比,两两相加加速比,展开4路加速比,展开8路加速比
1024,3.66667,2,5.33333,3,1,0.333333,1.83333,0.6875,1.22222,3.66667,11
2048,7.66667,4,13.3333,5,2.33333,1.66667,1.91667,0.575,1.53333,3.28571,4.6
3000,11,5.33333,20.3333,8,3.33333,2,2.0625,0.540984,1.375,3.3,5.5
4000,14.6667,7.33333,20,10.3333,4,3,2,0.733333,1.41935,3.66667,4.88889
4600,17,8.33333,26,11.3333,5,3.66667,2.04,0.653846,1.5,3.4,4.63636
5000,18.3333,9,32.6667,13,5.33333,4,2.03704,0.561224,1.41026,3.4375,4.58333
6000,22,11.3333,39,15.6667,6,5,1.94118,0.564103,1.40426,3.66667,4.4
8192,30,15,41,22,9,7.66667,2,0.731707,1.36364,3.33333,3.91304
65536,239.333,121.333,331.333,183.667,69.3333,63.6667,1.97253,0.722334,1.30309,3.45192,3.75916
131072,484,252.667,652,377.333,142.667,124.333,1.91557,0.742331,1.28269,3.39252,3.89276
200000,731,376.667,1283,703.667,213,188.333,1.94071,0.569758,1.03884,3.43192,3.88142
262144,966.333,495.333,1328.67,828,285.667,251.667,1.95087,0.727296,1.16707,3.38273,3.83974
330000,1219.67,627.667,2116.67,1081.67,361.333,324,1.94318,0.57622,1.12758,3.37546,3.7644
350000,1295.67,661.333,2280.33,1139,383.333,343.667,1.95917,0.568192,1.13755,3.38,3.77013
400000,1477.33,762.667,2587,1309,442,394.667,1.93706,0.57106,1.1286,3.34238,3.74324
524288,1934,990,2590.67,1527.67,558.333,443.667,1.95354,0.746526,1.26598,3.46388,4.35913
1048576,3887,1990.67,5204.33,3101,1127.33,894,1.95261,0.746878,1.25347,3.44796,4.34787
2097152,7830.33,3998,10406.7,6139,2262.33,1823.33,1.95856,0.752434,1.27551,3.46118,4.29452
3000000,11187,5686.67,19315.3,8863.33,3264,2614.67,1.96723,0.579177,1.26217,3.42739,4.27856
4000000,14975.7,7661.33,20779.3,11886,4456,3680,1.95471,0.7207,1.25994,3.36079,4.06947
4500000,16819.3,8582.67,23971.7,13198.3,5028.33,4132,1.95969,0.701634,1.27435,3.34491,4.07051
5000000,18819.3,9594.33,29735.7,14633.3,5613,4648,1.96151,0.632888,1.28606,3.35281,4.04891
6000000,22588,11576,38999.7,17438,6835.67,5685.33,1.95128,0.579184,1.29533,3.30443,3.97303
8388608,31364.3,16023.7,41751.3,24716,9503.67,7954,1.95738,0.751218,1.26899,3.30023,3.94322
16777216,62862.7,32060,83213.3,49350.7,18999,16112.3,1.96078,0.75544,1.2738,3.30874,3.90152
33554432,125562,64331.3,167085,98251.7,37945,32298.3,1.95181,0.751486,1.27797,3.30906,3.88758
67108864,251224,129459,336275,197171,75964.7,66032.3,1.94056,0.747079,1.27414,3.30712,3.80456
