数据大小,平凡算法(μs),两路链式(μs),递归两两相加(μs),原地两两相加(μs),展开4路(μs),展开8路分块(μs),两路加速比,递归加速比,两两相加加速比,展开4路加速比,展开8路加速比
1024,3.33333,1.66667,3,1.33333,1,0.666667,2,1.11111,2.5,3.33333,5
2048,6.33333,3,5.66667,3.33333,1.66667,1,2.11111,1.11765,1.9,3.8,6.33333
3000,10.3333,4.66667,11,6,2.33333,1.66667,2.21429,0.939394,1.72222,4.42857,6.2
4000,12.3333,6.33333,12,8,3,2.33333,1.94737,1.02778,1.54167,4.11111,5.28571
4600,14.3333,7,14.3333,12.3333,3.33333,2.33333,2.04762,1,1.16216,4.3,6.14286
5000,15.3333,7.66667,16.3333,13.3333,4,3,2,0.938776,1.15,3.83333,5.11111
6000,18.6667,9.33333,22.3333,16.3333,44.3333,2,2,0.835821,1.14286,0.421053,9.33333
8192,12.6667,8,17.3333,9.33333,4,3.33333,1.58333,0.730769,1.35714,3.16667,3.8
65536,107,51.3333,140,77.6667,31,27,2.08442,0.764286,1.37768,3.45161,3.96296
131072,223.667,112.333,293.667,169,58.6667,52.6667,1.9911,0.761635,1.32347,3.8125,4.24684
200000,307.667,154.667,539.667,265.667,94.3333,81,1.98922,0.570105,1.15809,3.26148,3.79835
262144,395,219.333,551.333,355.667,127,97.3333,1.80091,0.716445,1.11059,3.11024,4.05822
330000,540.333,280.333,904.667,407.667,154.667,118,1.92747,0.597273,1.32543,3.49353,4.5791
350000,567,291.333,994,429.333,173,128.667,1.94622,0.570423,1.32065,3.27746,4.40674
400000,669,332,1133.33,487.667,188,151.667,2.01506,0.590294,1.37184,3.55851,4.41099
524288,869.333,435,1134.67,701,243.333,197.333,1.99847,0.766157,1.24013,3.5726,4.40541
1048576,1625,803.333,2199.33,1527.33,472.333,380.667,2.02282,0.73886,1.06395,3.44037,4.26883
2097152,3210.67,1629,4669.67,3312.33,1248.33,907.667,1.97094,0.687558,0.969307,2.57196,3.53728
3000000,4869,2574.67,9570.67,4819.67,1757.67,1304.33,1.89112,0.508742,1.01024,2.77015,3.73294
4000000,6812,3566.67,10783.3,6521,2448.67,1960.67,1.90991,0.631716,1.04463,2.78192,3.47433
4500000,7770,4025.67,12541.7,7744.33,2987.67,2496,1.93012,0.619535,1.00331,2.60069,3.11298
5000000,8692,4586.33,15708,8429.33,3169,2642,1.8952,0.553349,1.03116,2.74282,3.28993
6000000,10287.3,5668.33,20649.7,9997,3807.33,3089.33,1.81488,0.498184,1.02904,2.70198,3.32995
8388608,14213.7,7902,21975.7,13981.7,5255.33,4560,1.79874,0.646791,1.01659,2.70462,3.11703
16777216,29731,16963.3,46553,29375,10673,9668,1.75266,0.638648,1.01212,2.78563,3.0752
33554432,57127.7,32366.3,87955.7,57200.3,20542,19146.7,1.76503,0.649505,0.99873,2.78102,2.98369
67108864,114960,65245.3,175668,115940,41301,38182.3,1.76196,0.654413,0.991547,2.78346,3.01081
