数据大小,平凡算法(μs),两路链式(μs),递归两两相加(μs),原地两两相加(μs),展开4路(μs),展开8路分块(μs),两路加速比,递归加速比,两两相加加速比,展开4路加速比,展开8路加速比
1024,1.66667,0.666667,2.33333,1.66667,0.333333,0.333333,2.5,0.714286,1,5,5
2048,3.33333,1.66667,4.33333,2,1,0.666667,2,0.769231,1.66667,3.33333,5
3000,6.33333,2.33333,10,3.33333,1.33333,1.33333,2.71429,0.633333,1.9,4.75,4.75
4000,6.33333,3,8.66667,4.33333,1.66667,1.33333,2.11111,0.730769,1.46154,3.8,4.75
4600,7,3.66667,11,4.66667,2.33333,1.33333,1.90909,0.636364,1.5,3,5.25
5000,7.66667,4,13,5.66667,2,1.66667,1.91667,0.589744,1.35294,3.83333,4.6
6000,9.33333,4.66667,17,6.66667,2.66667,2.33333,2,0.54902,1.4,3.5,4
8192,12.6667,6.33333,17.3333,9.66667,3.66667,3.33333,2,0.730769,1.31034,3.45455,3.8
65536,102.667,55.6667,148.667,69.3333,31,25.6667,1.84431,0.690583,1.48077,3.31183,4
131072,212.333,107.667,282,198.667,104.333,74,1.97214,0.752955,1.06879,2.03514,2.86937
200000,494,153.333,535.667,296.667,90.3333,84.6667,3.22174,0.922215,1.66517,5.46863,5.83465
262144,415,215.333,564.333,313.667,123,95.6667,1.92724,0.735381,1.32306,3.37398,4.33798
330000,568.667,288,954.667,412.333,156.667,124.333,1.97454,0.59567,1.37914,3.62979,4.57373
350000,617,308.333,1046.67,451.667,182,139,2.00108,0.58949,1.36605,3.39011,4.43885
400000,715,361.667,1216,514.333,197.667,158.667,1.97696,0.587993,1.39015,3.6172,4.5063
524288,923.667,467.333,1203.67,724.667,264,207,1.97646,0.767377,1.27461,3.49874,4.46216
1048576,1606,824,2159.67,1621.33,480.667,421,1.94903,0.743633,0.990543,3.34119,3.81473
2097152,3194,1621,4347,3007.33,1033.33,774.333,1.97039,0.73476,1.06207,3.09097,4.12484
3000000,4587,2335.33,8426.33,4234.33,1586,1146.67,1.96417,0.544365,1.08329,2.89218,4.00029
4000000,6186.33,3176.67,9205.67,5929.33,2223.33,1731.67,1.94743,0.672014,1.04334,2.78246,3.57247
4500000,6911.67,3589.67,10604.3,6632.33,2614,2070,1.92543,0.651778,1.04212,2.6441,3.33897
5000000,7802.67,4032.33,12985.3,7274.67,2798,2299,1.93503,0.600883,1.07258,2.78866,3.39394
6000000,9167,4886.67,17241.3,9180.67,3449.67,2838.33,1.87592,0.531687,0.998511,2.65736,3.22971
8388608,12863.3,6979,18868,12952.3,4649.67,4165.67,1.84315,0.681754,0.993129,2.76651,3.08794
16777216,25639,14100.3,37974,27138.3,9581.33,8704.67,1.81833,0.675172,0.944752,2.67593,2.94543
33554432,54606,31808.3,86269.3,56989.3,20147.3,18934.3,1.71672,0.632971,0.958179,2.71033,2.88397
67108864,102458,57066.3,151249,109422,38092,34719.3,1.79542,0.677411,0.936359,2.68975,2.95104
