规模,朴素算法(us),优化算法(us),加速比
10,1.00,2.80,0.36
20,3.00,2.20,1.36
30,5.30,4.40,1.20
40,7.90,7.80,1.01
50,18.70,14.60,1.28
60,27.30,20.10,1.36
70,26.50,20.90,1.27
80,36.70,31.20,1.18
90,45.30,40.70,1.11
100,52.70,46.80,1.13
200,209.30,183.00,1.14
300,448.00,394.40,1.14
400,897.60,687.60,1.31
500,1301.10,976.30,1.33
600,1661.40,1139.90,1.46
700,2597.10,1631.80,1.59
800,4942.60,2721.70,1.82
900,3555.10,2378.70,1.49
1000,4757.30,3620.20,1.31
2000,10454.60,5487.40,1.91
3000,26223.70,11353.20,2.31
4000,56885.10,22276.40,2.55
5000,87345.00,29605.40,2.95
6000,141481.80,49067.70,2.88
7000,196725.30,65436.00,3.01
8000,279891.20,87134.70,3.21
9000,407496.20,106480.70,3.83
