规模,朴素算法(us),优化算法(us),加速比
10,0.40,0.60,0.67
20,2.10,2.20,0.95
30,7.80,4.80,1.62
40,8.40,8.00,1.05
50,13.20,12.00,1.10
60,27.60,19.10,1.45
70,26.20,23.40,1.12
80,33.70,29.50,1.14
90,57.10,43.70,1.31
100,53.20,47.40,1.12
200,252.30,209.20,1.21
300,446.50,376.80,1.18
400,933.00,580.40,1.61
500,1133.90,797.60,1.42
600,1457.90,1048.80,1.39
700,1908.10,1548.70,1.23
800,3834.00,2695.40,1.42
900,3184.20,2156.70,1.48
1000,4011.10,2616.10,1.53
2000,10632.30,5627.40,1.89
3000,26563.30,10838.30,2.45
4000,56916.90,24580.80,2.32
5000,98634.50,36873.80,2.67
6000,134067.40,44554.40,3.01
7000,189855.50,67468.60,2.81
8000,255783.20,76585.50,3.34
9000,408860.00,99548.20,4.11
