规模,朴素算法(us),优化算法(us),加速比
10,0.48,0.50,0.96
20,2.73,2.08,1.31
30,3.21,2.89,1.11
50,9.45,7.97,1.19
70,36.55,21.21,1.72
100,76.35,44.72,1.71
200,160.35,123.90,1.29
400,607.73,457.05,1.33
450,822.86,625.16,1.32
500,1012.03,781.40,1.30
550,1199.33,912.71,1.31
600,1564.32,1082.56,1.45
700,2157.01,1376.39,1.57
800,2669.16,1972.07,1.35
900,3523.36,2196.29,1.60
1000,4092.66,2804.49,1.46
1300,7542.07,4834.96,1.56
1400,8959.11,5647.88,1.59
1500,9864.93,6397.67,1.54
1600,12253.17,7107.90,1.72
1700,15028.29,7911.17,1.90
1800,15966.06,8770.17,1.82
1900,18925.10,9609.00,1.97
2000,19623.55,11107.06,1.77
2200,25589.50,13613.37,1.88
3000,55435.28,23132.86,2.40
4000,104704.92,40711.14,2.57
