scale,naive_time_us,optimized_time_us,speedup
10,0.9,0.8,1.12
100,49.3,33.4,1.48
1000,3796.1,2089.6,1.82
20,2.8,2.1,1.33
200,232.1,121.6,1.91
2000,8898.2,4122.2,2.16
30,6.7,4.9,1.37
300,406.4,255.9,1.59
3000,31917.0,11423.2,2.79
40,11.6,7.6,1.53
400,711.8,412.4,1.73
4000,56113.0,18578.3,3.02
50,13.8,9.1,1.52
500,1033.9,585.1,1.77
5000,89788.5,29788.1,3.01
60,25.6,18.2,1.41
600,1552.9,802.3,1.94
6000,140825.4,42712.2,3.3
70,26.2,17.5,1.5
700,2406.4,1250.4,1.92
7000,202985.4,61217.0,3.32
80,33.5,24.1,1.39
800,2968.7,1512.7,1.96
8000,283515.8,70763.4,4.01
90,57.2,42.1,1.36
900,3434.4,1726.9,1.99
9000,378426.4,91659.0,4.13
